"from","to","database","source"
"A2M","MMP2","omnipath","omnipath"
"A2M","MMP9","omnipath","omnipath"
"A2M","LRP1","omnipath","omnipath"
"A2M","KLK3","omnipath","omnipath"
"AANAT","MTNR1A","nichenet_verschueren","nichenet_verschueren"
"AANAT","MTNR1B","nichenet_verschueren","nichenet_verschueren"
"ABCA1","APOA1","omnipath","omnipath"
"ABCA1","MEGF10","omnipath","omnipath"
"ACE","BDKRB2","omnipath","omnipath"
"ACE","AGTR2","omnipath","omnipath"
"ACE2","TNFRSF11B","nichenet_verschueren","nichenet_verschueren"
"ACE2","TNFRSF11A","nichenet_verschueren","nichenet_verschueren"
"ACE2","SLC6A19","omnipath","omnipath"
"ACE2","TIGIT","omnipath","omnipath"
"ACP4","VSTM2B","omnipath","omnipath"
"ACP4","ERBB4","omnipath","omnipath"
"ADAM10","APP","omnipath","omnipath"
"ADAM10","NOTCH2","omnipath","omnipath"
"ADAM10","NOTCH3","omnipath","omnipath"
"ADAM10","TSPAN33","omnipath","omnipath"
"ADAM10","CD44","omnipath","omnipath"
"ADAM10","NOTCH1","omnipath","omnipath"
"ADAM10","TSPAN5","omnipath","omnipath"
"ADAM10","TSPAN15","omnipath","omnipath"
"ADAM10","TSPAN10","omnipath","omnipath"
"ADAM10","TSPAN14","omnipath","omnipath"
"ADAM10","TSPAN17","omnipath","omnipath"
"ADAM10","EPHA3","omnipath","omnipath"
"ADAM10","AXL","omnipath","omnipath"
"ADAM10","NOTCH4","omnipath","omnipath"
"ADAM11","ITGA4","omnipath","omnipath"
"ADAM11","CCR4","omnipath","omnipath"
"ADAM12","SDC4","omnipath","omnipath"
"ADAM12","ITGB1","omnipath","omnipath"
"ADAM12","ITGA9","omnipath","omnipath"
"ADAM15","ITGA5","nichenet_verschueren","nichenet_verschueren"
"ADAM15","ITGA9","nichenet_verschueren","nichenet_verschueren"
"ADAM15","ITGB1","nichenet_verschueren","nichenet_verschueren"
"ADAM15","ITGB3","nichenet_verschueren","nichenet_verschueren"
"ADAM17","MUC1","omnipath","omnipath"
"ADAM17","NOTCH1","omnipath","omnipath"
"ADAM17","ITGB1","omnipath","omnipath"
"ADAM17","IL6R","omnipath","omnipath"
"ADAM17","ERBB4","omnipath","omnipath"
"ADAM17","ITGA5","omnipath","omnipath"
"ADAM17","NOTCH4","omnipath","omnipath"
"ADAM17","NOTCH3","omnipath","omnipath"
"ADAM17","NOTCH2","omnipath","omnipath"
"ADAM2","ITGB1","omnipath","omnipath"
"ADAM2","CD9","omnipath","omnipath"
"ADAM2","ITGA6","omnipath","omnipath"
"ADAM2","ITGB7","omnipath","omnipath"
"ADAM2","ITGA9","omnipath","omnipath"
"ADAM20","IL1RAPL2","omnipath","omnipath"
"ADAM20","IL1RAPL1","omnipath","omnipath"
"ADAM21","FLT4","nichenet_verschueren","nichenet_verschueren"
"ADAM21","CLEC12B","omnipath","omnipath"
"ADAM21","IGSF21","omnipath","omnipath"
"ADAM23","ITGA5","nichenet_verschueren","nichenet_verschueren"
"ADAM23","ITGB3","nichenet_verschueren","nichenet_verschueren"
"ADAM28","ITGA4","omnipath","omnipath"
"ADAM29","ITGA4","omnipath","omnipath"
"ADAM7","ITGA4","omnipath","omnipath"
"ADAM7","ITGB7","omnipath","omnipath"
"ADAM9","ITGA6","nichenet_verschueren","nichenet_verschueren"
"ADAM9","ITGAV","nichenet_verschueren","nichenet_verschueren"
"ADAM9","ITGB1","nichenet_verschueren","nichenet_verschueren"
"ADAM9","ITGB5","nichenet_verschueren","nichenet_verschueren"
