"from","to","database","source"
"2300002M23Rik","Ddr1","omnipath","omnipath"
"2610528A11Rik","Gpr15","omnipath","omnipath"
"9530003J23Rik","Itgal","omnipath","omnipath"
"a","Atrn","omnipath","omnipath"
"a","F11r","omnipath","omnipath"
"a","Mc1r","omnipath","omnipath"
"a","Mc2r","omnipath","omnipath"
"a","Mc3r","omnipath","omnipath"
"a","Mc4r","omnipath","omnipath"
"a","Mc5r","omnipath","omnipath"
"a","Mgrn1","nichenet_verschueren","nichenet_verschueren"
"A2m","Klk1b22","omnipath","omnipath"
"A2m","Klk1b9","omnipath","omnipath"
"A2m","Klk1","omnipath","omnipath"
"A2m","Klk1b11","omnipath","omnipath"
"A2m","Klk1b16","omnipath","omnipath"
"A2m","Klk1b21","omnipath","omnipath"
"A2m","Klk1b24","omnipath","omnipath"
"A2m","Klk1b26","omnipath","omnipath"
"A2m","Klk1b27","omnipath","omnipath"
"A2m","Klk1b5","omnipath","omnipath"
"A2m","Klk1b1","omnipath","omnipath"
"A2m","Klk1b8","omnipath","omnipath"
"A2m","Klk1b4","omnipath","omnipath"
"A2m","Klk1b3","omnipath","omnipath"
"A2m","Lrp1","omnipath","omnipath"
"A2m","Mmp2","omnipath","omnipath"
"A2m","Mmp9","omnipath","omnipath"
"Aanat","Mtnr1a","nichenet_verschueren","nichenet_verschueren"
"Aanat","Mtnr1b","nichenet_verschueren","nichenet_verschueren"
"Abca1","Apoa1","omnipath","omnipath"
"Abca1","Megf10","omnipath","omnipath"
"Ace","Agtr2","omnipath","omnipath"
"Ace","Bdkrb2","omnipath","omnipath"
"Ace2","Slc6a19","omnipath","omnipath"
"Ace2","Tigit","omnipath","omnipath"
"Ace2","Tnfrsf11a","nichenet_verschueren","nichenet_verschueren"
"Ace2","Tnfrsf11b","nichenet_verschueren","nichenet_verschueren"
"Acp4","Erbb4","omnipath","omnipath"
"Acp4","Vstm2b","omnipath","omnipath"
"Adam10","App","omnipath","omnipath"
"Adam10","Axl","omnipath","omnipath"
"Adam10","Cd44","omnipath","omnipath"
"Adam10","Epha3","omnipath","omnipath"
"Adam10","Notch1","omnipath","omnipath"
"Adam10","Notch2","omnipath","omnipath"
"Adam10","Notch3","omnipath","omnipath"
"Adam10","Notch4","omnipath","omnipath"
"Adam10","Tspan10","omnipath","omnipath"
"Adam10","Tspan14","omnipath","omnipath"
"Adam10","Tspan15","omnipath","omnipath"
"Adam10","Tspan17","omnipath","omnipath"
"Adam10","Tspan33","omnipath","omnipath"
"Adam10","Tspan5","omnipath","omnipath"
"Adam11","Ccr4","omnipath","omnipath"
"Adam11","Itga4","omnipath","omnipath"
"Adam12","Itga9","omnipath","omnipath"
"Adam12","Itgb1","omnipath","omnipath"
"Adam12","Sdc4","omnipath","omnipath"
"Adam15","Itga5","nichenet_verschueren","nichenet_verschueren"
"Adam15","Itga9","nichenet_verschueren","nichenet_verschueren"
"Adam15","Itgb1","nichenet_verschueren","nichenet_verschueren"
"Adam15","Itgb3","nichenet_verschueren","nichenet_verschueren"
"Adam17","Erbb4","omnipath","omnipath"
"Adam17","Il6ra","omnipath","omnipath"
"Adam17","Itga5","omnipath","omnipath"
"Adam17","Itgb1","omnipath","omnipath"
"Adam17","Muc1","omnipath","omnipath"
"Adam17","Notch1","omnipath","omnipath"
"Adam17","Notch2","omnipath","omnipath"
"Adam17","Notch3","omnipath","omnipath"
"Adam17","Notch4","omnipath","omnipath"
"Adam2","Cd9","omnipath","omnipath"
"Adam2","Itga6","omnipath","omnipath"
"Adam2","Itga9","omnipath","omnipath"
"Adam2","Itgb1","omnipath","omnipath"
"Adam2","Itgb7","omnipath","omnipath"
"Adam20","Il1rapl1","omnipath","omnipath"
"Adam20","Il1rapl2","omnipath","omnipath"
"Adam21","Clec12b","omnipath","omnipath"
"Adam21","Flt4","nichenet_verschueren","nichenet_verschueren"
"Adam21","Igsf21","omnipath","omnipath"
