regulated.gene,regulator.gene,regulator.effect
1145,1140,2.82
1146,1140,4.28
1147,1140,4.03
1148,1140,4.68
1149,1140,2.77
1150,1140,4.13
1151,1140,4.51
1152,1140,3.9
1153,1140,4.55
1154,1140,4.92
1155,1140,4.63
1156,1140,4.2
1157,1140,4.01
1158,1140,4.32
1159,1140,4.06
1160,1140,2.93
1161,1140,3.32
1162,1140,2.5
1163,1140,3.22
1164,1140,2.87
1165,1140,4.3
1166,1140,4.77
1167,1140,4.04
1168,1140,4.71
1169,1140,4.44
1170,1140,4.26
1171,1140,2.61
1172,1140,3.24
1173,1140,3.78
1174,1140,4.39
1175,1140,4.62
1176,1140,2.91
1177,1140,4.54
1178,1140,4.63
1179,1140,2.85
1180,1140,3.99
1181,1140,4.53
1182,1140,2.55
1183,1140,2.34
1184,1140,2.95
1185,1140,2.9
1186,1140,4.75
1187,1140,2.17
1188,1140,4.34
1189,1140,3.27
1190,1140,4.54
1191,1140,3.71
1192,1140,2.04
1193,1140,2.4
1194,1140,3
1195,1140,3.48
1196,1140,2.55
1197,1140,3.56
1198,1140,2.34
1199,1140,2.85
1200,1140,4.91
1201,1140,3.43
1202,1140,3.64
1203,1140,3.98
1204,1140,2.15
1205,1140,4.3
1206,1140,2.77
1207,1140,2.67
1208,1140,2.31
1209,1140,2.08
1210,1140,3.05
1211,1140,2.12
1212,1140,2
1213,1140,3.6
1214,1140,3.88
1215,1140,2.56
1216,1140,3.49
1217,1140,3.5
1218,1140,4.51
1219,1140,3.05
1220,1140,4.97
1221,1140,3.84
1222,1140,3.99
1223,1140,2.94
1224,1140,2.5
1225,1140,2.98
1226,1140,4.3
1227,1140,4.55
1228,1140,3.98
1229,1140,4.69
1230,1140,3.81
1231,1140,4.11
1232,1140,3.01
1233,1140,3.67
1234,1140,3.37
1235,1140,4.64
1236,1140,4.03
1237,1140,4.24
1238,1140,4.62
1239,1140,2.18
1240,1140,4.47
1241,1140,3.91
1242,1140,4.42
1243,1140,3.11
1244,1140,3.9
1245,1141,3.81
1246,1141,3.12
1247,1141,2.87
1248,1141,4.4
1249,1141,2.31
1250,1141,2.6
1251,1141,3.69
1252,1141,2.54
1253,1141,4.28
1254,1141,3.32
1255,1141,2.95
1256,1141,2
1257,1141,4.44
1258,1141,3.55
1259,1141,3.86
1260,1141,3.31
1261,1141,2.57
1262,1141,3.84
1263,1141,2.43
1264,1141,3.6
1265,1141,3.67
1266,1141,4.63
1267,1141,3.11
1268,1141,3.19
1269,1141,3.73
1270,1141,4.22
1271,1141,4.59
1272,1141,2.25
1273,1141,4.05
1274,1141,3.45
1275,1141,2.46
1276,1141,4.16
1277,1141,3.93
1278,1141,4.33
1279,1141,4.06
1280,1141,3.29
1281,1141,2.41
1282,1141,2.14
1283,1141,2.81
1284,1141,3.68
1285,1141,4.09
1286,1141,3.17
1287,1141,2.53
1288,1141,4.11
1289,1141,4.43
1290,1141,3.2
1291,1141,3.15
1292,1141,3.29
1293,1141,4.82
1294,1141,4.4
1295,1141,4.57
1296,1141,3.79
1297,1141,3.44
1298,1141,4.69
1299,1141,4.14
1300,1141,2.89
1301,1141,2.74
1302,1141,2.38
1303,1141,3.56
1304,1141,4.51
1305,1141,2.73
1306,1141,4.09
1307,1141,4.16
1308,1141,3.43
1309,1141,2.09
1310,1141,2.22
1311,1141,4.99
1312,1141,3.1
1313,1141,4.06
1314,1141,4.27
1315,1141,4.77
1316,1141,4.11
1317,1141,2.76
1318,1141,2.21
1319,1141,2.17
1320,1141,4.1
1321,1141,3.42
1322,1141,3.77
1323,1141,3.43
1324,1141,4.62
1325,1141,4.04
1326,1141,2.78
1327,1141,3.3
1328,1141,2.2
1329,1141,2.43
1330,1141,2.76
1331,1141,4.89
1332,1141,2.42
1333,1141,4.43
1334,1141,2.28
1335,1141,4.47
1336,1141,3.8
1337,1141,2.08
1338,1141,4.75
1339,1141,2.84
1340,1141,2.77
1341,1141,4.94
1342,1141,4.21
1343,1141,4.96
1344,1141,4.76
1345,1142,3.96
1346,1142,4.88
1347,1142,2.04
1348,1142,3.92
1349,1142,2.27
1350,1142,4.65
1351,1142,4.31
1352,1142,2.09
1353,1142,4.78
1354,1142,3.26
1355,1142,4.9
1356,1142,3.36
1357,1142,2.78
1358,1142,4.06
1359,1142,4.72
1360,1142,4.83
1361,1142,4.13
1362,1142,4.91
1363,1142,2.13
1364,1142,4.03
1365,1142,4.05
1366,1142,2.74
1367,1142,4.72
1368,1142,4.51
1369,1142,2.97
1370,1142,3.62
1371,1142,4.54
1372,1142,3.21
1373,1142,2.13
1374,1142,4.68
1375,1142,4.27
1376,1142,4.33
1377,1142,2.61
1378,1142,4.53
1379,1142,3.75
1380,1142,3.37
1381,1142,2.46
1382,1142,4.56
1383,1142,3.07
1384,1142,4.74
1385,1142,2.18
1386,1142,4.38
1387,1142,4.32
1388,1142,4.55
1389,1142,2.33
1390,1142,3.84
1391,1142,2.9
1392,1142,2.34
1393,1142,2.82
1394,1142,3.32
