regulated.gene,regulator.gene,regulator.effect
88,2,4.992411719
913,2,4.984871727
801,2,4.965400517
77,2,4.96323526
82,2,4.95177212
963,2,4.94993281
10,2,4.926831236
383,2,4.914995697
627,2,4.891376577
290,2,4.859543398
1049,2,4.851573824
1069,2,4.816558382
570,2,4.803163061
321,2,4.788528168
421,2,4.711728761
652,2,4.677966089
366,2,4.672217893
759,2,4.664787043
198,2,4.651538787
205,2,4.641097131
800,2,4.591129351
1055,2,4.555987865
654,2,4.54061504
349,2,4.537723943
815,2,4.534086479
999,2,4.524743465
406,2,4.509266887
1054,2,4.497187607
964,2,4.496720569
601,2,4.44597145
166,2,4.38321714
568,2,4.325802531
794,2,4.303542849
89,2,4.298617623
244,2,4.290129547
603,2,4.281581375
426,2,4.251063237
703,2,4.213506988
888,2,4.202677459
968,2,4.191375523
732,2,4.185823108
829,2,4.167683255
975,2,4.160149595
395,2,4.1388138
391,2,4.125107817
879,2,4.097634042
362,2,4.065512206
1080,2,4.040544981
121,2,4.024391275
203,2,4.012852565
58,2,3.899381017
299,2,3.874588002
420,2,3.871291151
74,2,3.862344308
885,2,3.825214661
206,2,3.802600566
81,2,3.786824217
236,2,3.774027379
75,2,3.771744639
653,2,3.757016038
962,2,3.756989049
111,2,3.742730044
201,2,3.720452341
598,2,3.711443748
1068,2,3.710218811
906,2,3.704192247
432,2,3.674844256
577,2,3.671080846
792,2,3.621243208
60,2,3.582736344
961,2,3.578894068
385,2,3.574014404
828,2,3.569256426
850,2,3.565128125
204,2,3.5521123
55,2,3.543062278
255,2,3.472500811
346,2,3.460060116
57,2,3.458023301
76,2,3.448364996
1081,2,3.42001623
149,2,3.418121461
816,2,3.381230461
1097,2,3.375545492
54,2,3.368014562
753,2,3.340580325
237,2,3.334032964
79,2,3.324969205
56,2,3.29262828
899,2,3.262373985
967,2,3.259221329
202,2,3.258687019
384,2,3.210997771
268,2,3.205739165
1093,2,3.181708445
907,2,3.181264629
319,2,3.145878987
78,2,3.090794324
790,2,3.077180328
880,2,3.06514867
430,2,3.027127002
320,2,3.015772167
90,2,2.98422743
985,2,2.957383942
884,2,2.94616075
419,2,2.920547994
757,2,2.868995658
